job_id,source,source_job_id,job_title,company,country,city,remote_status,role_category,seniority_level,salary_min,salary_max,salary_currency,industry,description,posted_date,extracted_date,source_file
JOB-000001,RemoteOK,1134015,Senior DevOps Engineer,Lemon.io,,,Remote,,,50000.0,150000.0,Unknown,,"<p>Are you a talented Senior DevOps looking for a remote job that lets you show your skills and get decent compensation? Look no further than <a href=""https://lemon.io/for-developers/?utm_source=remoteok.com&amp;utm_medium=job_ad&amp;utm_campaign=supply_en_devops/sre/platform_engineer_jun_2026_job_ad"">Lemon.io</a> â the marketplace that connects you with hand-picked startups in the US and Europe.</p><p><strong>What we offer:</strong></p><ul><li>The rate depends on your seniority level, skills and experience. We've already paid out over $11M to our engineers.</li><li>No more hunting for clients or negotiating rates â let us handle the business side of things so you can focus on what you do best.</li><li>We'll manually find the best project for you according to your skills and preferences.</li><li>Choose a schedule that works best for you. Itâs possible to communicate async or minimally overlap within team working hours.</li><li>We respect your seniority so you can expect no micromanagement or screen trackers.</li><li>Communicate directly with the clients. Most of them have technical backgrounds. Sounds good, yeah?</li><li>We will support you from the time you submit the application throughout all cooperation stages.</li><li>Most of our projects involve working in a fast-paced startup environment. We hope you like it as much as we do.</li><li>Through our community, we will connect you with the best developers from more than 75 countries.</li></ul><p>We have several openings for Senior DevOps Engineers, <span class=""notion-enable-hover"">Site Reliability Engineers, Platform Engineers</span>.</p><p><strong>Requirements â DevOps with Azure DevOps:</strong></p><ul><li>4+ years of experience as a DevOps Engineer</li><li>At least 3 years of experience with Azure DevOps</li><li>Experience in at least 2 commercial projects using Microsoft Azure or Kubernetes is required</li></ul><p><strong>Requirements â DevOps with AWS/GCP/SQL:</strong></p><ul><li>4+ years of experience as a DevOps Engineer</li><li>At least 3 years of experience with AWS/GCP</li><li>At least 3 years of commercial experience with Python/Bash</li><li>Experience in at least 2 commercial projects using Terraform, Kubernetes or SQL is required</li></ul><p><br /></p><ul><li>Strong technical skills: as a Senior DevOps, you are expected to be able to create projects from scratch and have a deep understanding of application architecture.</li><li>Clear and effective communication in English â advanced ability to discuss business tasks, justify decisions, and communicate issues. Good self-presentation is also essential for upcoming client calls.</li><li>Strong self-organizational skills â ability to work full-time remotely with no supervision.</li><li>Reliability â we want to trust you and expect that you wonât let us and the client down.</li><li><p>Adaptability and Flexibility â the ability to onboard the project promptly after accepting it and start delivering results quickly.</p></li></ul><p>Sounds good for you? Apply now and join the <a href=""https://lemon.io/for-developers/?utm_source=remoteok.com&amp;utm_medium=job_ad&amp;utm_campaign=supply_en_devops/sre/platform_engineer_jun_2026_job_ad"">Lemon.io</a> community!</p><p><strong>NOT YOUR TECH STACK?</strong></p><p>We have a variety of projects, so if you have 4+ years of commercial software development experience and are proficient in AI Agent Architecture, AI Automation Architecture, AI Engineering, Site Reliability Engineering, Platform Engineering, React &amp; Python, React &amp; Golang, Golang, React &amp; Java, React &amp; Ruby, Ruby, PHP &amp; Vue, Vue &amp; Node.js, React &amp; .NET, Android &amp; iOS, Flutter, Blockchain (Ethereum/Ethers.js/Wagmi/Viem/Solana), Angular &amp; Node.js, Vue &amp; .NET, Python &amp; Vue, MLOps, Data Science, Angular &amp; PHP, Angular &amp; .NET, Symfony &amp; React, Symfony &amp; Vue, Symfony &amp; Angular, Python, Symfony &amp; JavaScript &amp; Next.js &amp; TypeScript, Data Analysis, React &amp; PHP, Data Engineering, Project Management, Product Management, QA Automation, QA Manual, Embedded Software Engineering, React Native &amp; Node, React Native &amp; React, React Native &amp; Ruby, React Native &amp; Python, WordPress, Android, Data Annotation, Angular, Python &amp; Node, React &amp; Node.js, Java &amp; Spring, Svelte &amp; Python, Svelte &amp; Node.js, Svelte &amp; TypeScript, Rust, Shopify &amp; JavaScript, Vue &amp; Nuxt, PHP &amp; Laravel, UI/UX Design, Animation, Graphic Design, React &amp; Node &amp; React Native, .NET &amp; C#, Electron, Scala, C++, Unreal Engine &amp; C++, Python &amp; LLM, Unity, or Machine Learning Engineering, we would be happy to connect with you and match you with a project that fits your experience.</p><p>We do not provide visa assistance, and our cooperation model does not include the benefits typically offered with direct hire.</p><p>We work with developers from 75+ countries across Europe, Latin America, North America (the U.S. and Canada), selected countries in Asia (Japan, Singapore, South Korea, the Philippines, Indonesia, Malaysia, Vietnam, Thailand, and Israel), Oceania (Australia, New Zealand, and Papua New Guinea), and Africa (including Morocco and South Africa).</p><p></p><br/><br/>Please mention the word **STIMULATES** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-06-24,2026-06-26,remoteok_2026_06_26.json
JOB-000002,RemoteOK,1133994,Junior Business Analyst,Work Force Nexus,"United Kingdom,",,Remote,,,0.0,0.0,Unknown,,Posted 1:40:52 PM. Location: United Kingdom (Remote)Employment Type: Full-TimeExperience: 0â1 YearAbout The RoleWe areâ¦See this and similar jobs on LinkedIn.<br/><br/>Please mention the word **ENCOURAGE** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,2026-06-24,2026-06-26,remoteok_2026_06_26.json
JOB-000003,RemoteOK,1134080,Technical Project Manager,Nuvolar Works,"Barcelona, Barcelona, CataluÃ±a, EspaÃ±a",,Remote,,,0.0,0.0,Unknown,,"We are a global technology consulting company specializing in IT solutions, cloud-based platforms, data engineering services, and end-to-end project delivery support. With over 14 years of experience and a multicultural team of more than 100 professionals, we deliver projects for highly complex industries, including pharmaceuticals, diagnostics, healthcare, and consumer goods.<br><br>At our company, we value international talent, diversity, flexibility, and a collaborative environment that fosters both professional growth and personal well-being.<br><br><strong>ð§ </strong> What Youâll Do<br><br>This role is part of an ongoing initiative within the pharmaceutical diagnostics sector, focused on the evolution of large-scale AWS-based medical data platforms used to process and store critical healthcare data such as blood glucose measurements and diagnostic test results (e.g. blood analyses and biopsies). The work directly contributes to improving healthcare outcomes and patient diagnosis.<br><br>As a Technical Project Manager, you will ensure coordination, alignment, and delivery across multiple engineering teams working on these platforms. You will act as a key driver of planning, execution, and release readiness, ensuring priorities are aligned with product goals and sprint objectives.<br><br>Your main responsibilities will include:<br><br><ul><li>Coordinate delivery across multiple engineering teams working on AWS-based data platforms</li><li>Ensure alignment of scope, priorities, and sprint/release planning with Product objectives</li><li>Track delivery progress, risks, dependencies, and blockers across teams</li><li>Facilitate Agile ceremonies and support the smooth execution of delivery processes</li><li>Maintain dashboards and Jira tracking to ensure visibility of delivery health and progress</li><li>Support release readiness, technical coordination, and operational efficiency</li><li>Contribute to documentation and compliance-related deliverables when required<br><br></li></ul><strong>â </strong>What Weâre Looking For<br><br><ul><li>5â7 years of experience as a Technical Project Manager, Engineering Manager, or similar role</li><li>Strong background in software engineering or data platforms</li><li>Experience with AWS-based environments (e.g., S3, Redshift, Glue, CloudWatch, SageMaker)</li><li>Solid understanding of Agile methodologies (Scrum, Kanban; SAFe is a plus)</li><li>Experience managing releases, dependencies, and cross-team delivery</li><li>Strong stakeholder management skills across technical and business teams</li><li>Experience using Jira, Confluence, or similar tools</li><li>Communication: Excellent oral and written English; ability to communicate with technical and non-technical stakeholders.<br><br></li></ul><strong>ð </strong>Why Youâll Love Working at Nuvolar<br><br><ul><li><strong>People-First Culture </strong>focused on collaboration and growth</li><li><strong>100% remote work, based in Spain</strong>, with occasional (non-mandatory) visits to Sant Cugat or client sites</li><li><strong>Continuous learning</strong> with training, mentorship, and development budget</li><li><strong>Health and wellness benefits,</strong> including private health insurance and gym subsidy</li><li><strong>Strong team culture</strong> with events and knowledge-sharing activities<br><br></li></ul>ð¥ The Hiring Process<br><br>We like to keep things simple and transparent:<br><br><ul><li><strong>HR Interview â </strong>A friendly conversation to understand your background and career aspirations.</li><li><strong>Practical Exercise â </strong>A short case to assess your approach to project delivery and problem-solving</li><li><strong>Technical Interview â </strong>Deep dive into your technical background and project experience.<br><br></li></ul>In our screening process, we prioritize verifiable signals of excellence, regardless of seniority. There are no preferential paths beyond what your application demonstrates, and we evaluate every candidate through the same process. Some people hold back because they feel they lack experience or have an âimperfectâ CV. If you like the role and believe you could excel over time, donât self-reject. All applications go through our careers page, which is the only way to be considered. If you pass our screening, youâll be asked to complete one or more tests.<br><br>ð Join a team where trust, growth, and purpose go hand in hand. Apply now and letâs build meaningful tech â together, from anywhere.<br><br>If you want to be aware of all of our latest updates, follow us via <strong>LinkedIn</strong><strong> |</strong><strong> Instagram</strong><strong> |</strong><strong> Glassdoor</strong><strong> |</strong><strong> Medium<br><br></strong><em>Equal Opportunity Statement<br><br></em><em>Nuvolar Works is an equal-opportunity employer. We welcome and encourage applications from all backgrounds. We do not discriminate based on age, sex, gender, gender identity or expression, sexual orientation, family or marital status, disability, national origin, race, ethnicity, religion, or any other protected characteristic. Candidates with disabilities are encouraged to apply, and we are committed to providing an inclusive and accessible recruitment process. If you require any adjustments during the hiring process, please let us know.</em><br/><br/>Please mention the word **REJUVENATED** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-06-23,2026-06-26,remoteok_2026_06_26.json
JOB-000004,RemoteOK,1134008,Junior Data Analyst,Caterpillar Inc.,"Houston, Houston, Texas, United States",,Remote,,,0.0,0.0,Unknown,,"<p>Job Title: Junior Data Analyst</p><p><strong>Location:</strong> Remote / Onsite (as applicable)</p><p> <strong>Employment Type:</strong> Full-Time</p><p>Job Summary</p><p>We are seeking a detail-oriented and analytical Junior Data Analyst to join our team. The ideal candidate will assist in collecting, analyzing, and interpreting data to help drive business decisions. This role is an excellent opportunity for individuals looking to build a career in data analytics and business intelligence.</p><p>Key Responsibilities</p><ul><li>Collect, clean, validate, and organize data from multiple sources.</li><li>Analyze datasets to identify trends, patterns, and actionable insights.</li><li>Create and maintain dashboards, reports, and visualizations.</li><li>Prepare regular and ad-hoc reports for management and stakeholders.</li><li>Assist in developing KPIs and performance metrics.</li><li>Perform data quality checks and troubleshoot data discrepancies.</li><li>Support business teams with data-driven recommendations.</li><li>Document data processes, methodologies, and findings.</li><li>Collaborate with cross-functional teams including Operations, Sales, Marketing, and IT.</li></ul><p>Required Qualifications</p><ul><li>Bachelor's degree in Data Analytics, Statistics, Mathematics, Computer Science, Information Systems, Economics, or a related field.</li><li>0â2 years of experience in data analysis, reporting, or related roles.</li><li>Strong analytical and problem-solving skills.</li><li>Excellent attention to detail and accuracy.</li><li>Good written and verbal communication skills.</li></ul><p>Required Technical Skills</p><p><strong>Must Have:</strong></p><ul><li>SQL (Joins, Aggregations, Subqueries, Window Functions)</li><li>Microsoft Excel (Pivot Tables, VLOOKUP/XLOOKUP, Power Query)</li><li>Data Cleaning and Validation</li><li>Data Visualization</li></ul><p><strong>Preferred:</strong></p><ul><li>Power BI or Tableau</li><li>Python (Pandas, NumPy)</li><li>Basic Statistics and Data Interpretation</li><li>Experience with databases such as MySQL, PostgreSQL, or SQL Server</li></ul><p>Preferred Qualifications</p><ul><li>Knowledge of ETL concepts and data warehousing.</li><li>Familiarity with business intelligence tools.</li><li>Understanding of reporting automation.</li><li>Exposure to cloud platforms such as AWS, Azure, or Google Cloud is a plus.</li></ul><p>Key Competencies</p><ul><li>Analytical Thinking</li><li>Attention to Detail</li><li>Time Management</li><li>Communication Skills</li><li>Problem Solving</li><li>Team Collaboration</li><li>Adaptability</li></ul><p>What You'll Gain</p><ul><li>Hands-on experience working with real business data.</li><li>Exposure to modern analytics and reporting tools.</li><li>Mentorship from experienced data professionals.</li><li>Opportunities for career growth into Data Analyst, Business Analyst, or Data Engineer roles.</li></ul><p></p><br/><br/>Please mention the word **RECEPTIVE** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-06-23,2026-06-26,remoteok_2026_06_26.json
JOB-000005,RemoteOK,1133977,Business Analyst,Rotaract Club of Singapore Management University (SMU),"New York, New York, United States",,Remote,,,0.0,0.0,Unknown,,"<strong>About the Role</strong><p>We are seeking a detail-oriented <strong>Business Analyst</strong> to evaluate business processes, identify improvement opportunities, and support data-driven decision-making. You will work closely with stakeholders to gather requirements and translate them into actionable insights.</p><strong>Key Responsibilities</strong><ul><li>Analyze business needs and translate them into clear requirements</li><li>Conduct research, process mapping, and workflow documentation</li><li>Identify system or process gaps and propose improvement solutions</li><li>Collaborate with cross-functional teams to support project implementation</li><li>Prepare reports, dashboards, and presentations for management</li><li>Evaluate project outcomes and ensure alignment with business goals</li><li>Support data analysis and decision-making using various tools</li></ul><strong>Qualifications</strong><ul><li>Bachelorâs degree in Business, Economics, IT, or related field</li><li>2â4 years of experience as a Business Analyst or similar role</li><li>Strong analytical and problem-solving skills</li><li>Experience with requirement gathering and documentation</li><li>Familiarity with data analysis tools (Excel, SQL, Power BI, Tableau)</li><li>Excellent communication and stakeholder management skills</li><li>Ability to work in a fast-paced environment and handle multiple priorities</li></ul><strong>Preferred Skills</strong><ul><li>Knowledge of Agile or Scrum methodologies</li><li>Experience with process improvement frameworks (Lean, Six Sigma)</li><li>Understanding of software development lifecycle (SDLC)</li><li>Strong presentation and reporting skills&nbsp;</li></ul><li><br></li><br/><br/>Please mention the word **INEXPENSIVE** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-06-23,2026-06-26,remoteok_2026_06_26.json
JOB-000006,RemoteOK,1134078,Data Analyst,Haystack,"Wien, Wien, Wien, Ãsterreich",,Remote,,,0.0,0.0,Unknown,,"We are working with a highly specialized trade and full-service provider of drywall and insulation products, operating over 125 branches across 14 countries. This company is a leader in its field, dedicated to innovation and expanding its market presence while maintaining a strong focus on quality and customer satisfaction.<br><br>The Role<br><br><ul><li> Develop, enhance, and maintain Microsoft PowerBI reports and dashboards</li><li> Further develop and optimize internal data models based on provided table structures in a central Data Warehouse</li><li> Ensure data quality and consistency</li><li> Collaborate closely with specialist departments, international subsidiaries, and corporate management<br><br></li></ul>What You'll Need<br><br><ul><li> Proficiency in Microsoft PowerBI (data modeling, DAX)</li><li> SQL knowledge and experience in building high-performance data models</li><li> Analytical mindset and strong affinity for numbers and data</li><li> Structured, independent, and solution-oriented approach to coordinating parallel tasks</li><li> Excellent communication skills in German and English; additional languages are a plus</li><li> Professional experience in Business Intelligence, reporting, or data analysis</li><li> Education or degree in economics, IT, or a comparable field<br><br></li></ul>What's On Offer<br><br><ul><li> Opportunity to work in a motivated and collegial team</li><li> Professional and personal development opportunities</li><li> Diverse activities in an international environment</li><li> Flexible working hours by arrangement<br><br></li></ul>Apply via Haystack today!<br><br><br/><br/>Please mention the word **FREED** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-06-23,2026-06-26,remoteok_2026_06_26.json
JOB-000007,RemoteOK,1134079,Business Analyst,Haystack,"NÃ¼rnberg, NÃ¼rnberg, Bayern, Deutschland",,Remote,,,0.0,0.0,Unknown,,"We're hiring on behalf of a Haystack partner!<br><br>The Role<br><br><ul><li> Lead and coordinate the analysis and documentation of business and system requirements</li><li> Moderate workshops and discussions with stakeholders, IT architects, and developers</li><li> Translate business requirements into functional and non-functional requirements</li><li> Participate in Agile/Scrum ceremonies and contribute to backlog refinement</li><li> Mentor Requirements Engineers and promote best practices</li><li> Continuously improve methods, tools, and documentation standards for requirements management<br><br></li></ul>What You'll Need<br><br><ul><li> University degree in Computer Science, Business Informatics, Engineering, or a comparable field</li><li> At least 7 years of experience in Requirements Engineering, Business Analysis, or System Analysis in complex IT environments</li><li> Strong knowledge of Agile/Scrum methodologies and experience with tools like Jira and Confluence</li><li> Knowledge in requirements modeling (e.g., UML, BPMN); IREB certification beneficial</li><li> Excellent communication and moderation skills in English (minimum B2 level)</li><li> Ability to work independently, prioritize, and collaborate effectively across teams and time zones<br><br></li></ul>What's On Offer<br><br><ul><li> Flexible working hours and mobile work options (up to 50%)</li><li> Company pension scheme</li><li> Opportunities for professional development</li><li> Fair compensation, free hot drinks and water<br><br></li></ul>Apply via Haystack today!<br><br><br/><br/>Please mention the word **EXCELLENCY** and tag RMTAyLjIwMy4xMzcuMjQz when applying to show you read the job post completely (#RMTAyLjIwMy4xMzcuMjQz). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2026-06-23,2026-06-26,remoteok_2026_06_26.json
JOB-000008,Adzuna,5747781982,Data Analyst Trainee,ITOL Recruit,gb,UK,On-site,,,30000.0,50000.0,GBP,IT Jobs,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",2026-06-01,2026-06-26,adzuna_gb_2026_06_26.json
JOB-000009,Adzuna,5764351113,Trainee Data Analyst,Newto Training,gb,UK,On-site,,,25000.0,78000.0,GBP,IT Jobs,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",2026-06-15,2026-06-26,adzuna_gb_2026_06_26.json
JOB-000010,Adzuna,5769454840,Data Analyst,HAYS Specialist Recruitment,gb,"Banbridge, County Down",On-site,,,35000.0,35000.0,GBP,IT Jobs,"Data AnalystLocation: Banbridge (Head Office)Hours: Monday-Thursday 8am-5pm | Friday 8am-3pm Salary: Competitive (depending on experience) About the BusinessThis is an opportunity to join a leading organisation operating within the UK and Ireland's building services and energy solutions sector. The business specialises in the design, development, and delivery of innovative, offsite-prefabricated and sustainable energy solutions across the UK and Europe. With a strong track record in delivering …",2026-06-19,2026-06-26,adzuna_gb_2026_06_26.json
